lat,lon,region,excluded,mig_deg,u_star_cr,U_cr,n_timesteps,n_above,intermit_raw_pct,intermit_net_algo_pct,intermit_gross_mig_pct,intermit_net_mig_pct,center_algo_deg,center_mig_deg,sector_offset_deg,u_star_mean,q_m2s
-16.0,12.0,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,2397,9.112682481751825,7.432329683698297,8.074817518248175,7.036952554744525,266.0,225.0,41.0,0.29437850996603926,1.011903933841894e-06
-16.25,12.0,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,3316,12.606447688564478,10.629562043795621,11.503953771289538,10.401459854014599,185.0,225.0,40.0,0.3024344160016696,1.2627823678802554e-06
-16.5,12.0,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,3632,13.80778588807786,11.891727493917275,12.595042579075425,11.382299270072993,183.0,225.0,42.0,0.30290475046047133,1.2776388604555699e-06
-2.5,-43.0,LencoisMaranhensesBrazil,False,270.0,0.2841780544904583,6.543441520257789,26304,5954,22.635340632603405,22.635340632603405,22.635340632603405,22.635340632603405,36.0,90.0,54.0,0.32439967134989134,1.4730317769651627e-06
-23.0,14.5,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,5859,22.27417883211679,20.586222627737225,20.107208029197082,17.94023722627737,139.0,225.0,86.0,0.32620092188118677,2.042387779738241e-06
-23.25,14.5,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,6808,25.881995133819952,24.62743309002433,23.33485401459854,20.78771289537713,133.0,225.0,92.0,0.3318646805607537,2.23687212484973e-06
-23.75,15.75,Namib,False,225.0,0.2593577467829456,5.97193281494935,26304,2961,11.256843065693431,4.611465936739659,5.139902676399027,-0.9770377128953771,167.0,45.0,122.0,0.31000446283974137,1.5047025144668333e-06
-24.25,14.75,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,4672,17.761557177615572,15.799878345498783,15.134580291970803,12.507603406326034,130.0,225.0,95.0,0.3257637266502693,2.027514382368119e-06
-24.5,14.75,Namib,False,45.0,0.2593577467829456,5.97193281494935,26304,5393,20.50258515815085,18.936283454987834,18.289993917274938,16.07740267639903,127.0,225.0,98.0,0.3300275786993294,2.173422178838567e-06
13.0,15.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,2847,10.823448905109489,8.078619221411191,8.572840632603405,6.322232360097324,335.0,45.0,70.0,0.26850447339084804,6.339869375690196e-07
13.0,15.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,1456,5.535279805352798,4.288321167883212,4.603862530413625,3.6724452554744524,334.0,45.0,71.0,0.2632817626693126,5.194135404105833e-07
13.25,14.5,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,5132,19.510340632603405,9.922445255474452,13.461830900243308,7.413321167883212,332.0,45.0,73.0,0.27073004051954197,6.834942221111464e-07
13.25,14.75,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,6601,25.095042579075425,14.67837591240876,18.069495133819952,11.043947688564478,329.0,45.0,76.0,0.2763687682248403,8.107558922193298e-07
13.25,15.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4737,18.00866788321168,12.56462895377129,14.222171532846716,10.435675182481752,333.0,45.0,72.0,0.27789122071109357,8.455662111881194e-07
13.25,15.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,3264,12.408759124087592,9.451034063260341,10.161952554744525,7.91514598540146,334.0,45.0,71.0,0.2722545911750076,7.176433897888949e-07
13.25,15.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,3030,11.519160583941606,8.781934306569344,9.652524330900244,7.785888077858881,335.0,45.0,70.0,0.2719572887746199,7.109689140319118e-07
13.25,16.0,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,2982,11.336678832116789,8.591849148418492,9.62971411192214,7.922749391727494,331.0,45.0,74.0,0.27096903293874997,6.888348576872277e-07
13.25,16.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,2621,9.96426399026764,7.401916058394161,8.473996350364963,6.983728710462287,331.0,45.0,74.0,0.2680991920878925,6.250155229172253e-07
13.25,16.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,1564,5.945863746958637,4.250304136253042,5.014446472019465,4.083029197080292,338.0,45.0,67.0,0.26196636618349084,4.909117647450475e-07
13.25,16.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,1309,4.976429440389294,3.3416970802919708,4.143856447688565,3.3112834549878345,336.0,45.0,69.0,0.2609092101600755,4.681089651101381e-07
13.25,17.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,848,3.223844282238443,2.045316301703163,2.619373479318735,2.0149026763990268,69.0,45.0,24.0,0.26007997729915094,4.5028698558538787e-07
13.5,15.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4918,18.69677615571776,12.728102189781023,15.031934306569344,11.367092457420924,332.0,45.0,73.0,0.28005126197541536,8.952829009365727e-07
13.5,15.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4512,17.153284671532848,12.112226277372264,13.861009732360097,10.568734793187348,332.0,45.0,73.0,0.27954073992441186,8.83497707093872e-07
13.5,15.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4195,15.948144768856448,11.55337591240876,13.096867396593675,10.2455900243309,330.0,45.0,75.0,0.2785926689998705,8.61668921583583e-07
13.5,16.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,5457,20.74589416058394,14.556721411192214,17.168491484184916,13.591088807785889,330.0,45.0,75.0,0.28114653850745436,9.206394687726884e-07
13.75,14.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4089,15.545164233576642,9.23433698296837,12.146441605839415,8.74771897810219,99.0,45.0,54.0,0.2782557588069746,8.539296181480293e-07
13.75,14.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,3626,13.784975669099756,8.911192214111923,11.211222627737227,8.637469586374696,92.0,45.0,47.0,0.27574817344614755,7.966210841010759e-07
13.75,14.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4031,15.324665450121655,10.268400243309003,12.671076642335766,10.017487834549879,95.0,45.0,50.0,0.27790231737863336,8.458206344369661e-07
13.75,15.0,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4838,18.3926399026764,12.363138686131387,15.260036496350365,12.127433090024331,338.0,45.0,67.0,0.2808843664745275,9.145609566782057e-07
13.75,15.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4921,18.70818126520681,12.823144768856448,15.450121654501217,12.192062043795621,338.0,45.0,67.0,0.28151869306003335,9.292776864192837e-07
13.75,15.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4877,18.54090632603406,12.800334549878345,15.20301094890511,11.865115571776157,333.0,45.0,72.0,0.2815685278645027,9.304352881199551e-07
13.75,15.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4587,17.438412408759124,12.252889294403893,14.370437956204379,11.302463503649635,333.0,45.0,72.0,0.28125499013925853,9.231556001270682e-07
13.75,16.0,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,5216,19.829683698296837,14.043491484184916,16.503193430656935,13.17670316301703,331.0,45.0,74.0,0.2830129986878261,9.640776256649273e-07
13.75,16.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,7060,26.840024330900242,18.37743309002433,22.06508515815085,17.29014598540146,332.0,45.0,73.0,0.28759088271617017,1.0718358023323083e-06
13.75,16.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,5068,19.267031630170315,12.576034063260341,15.666818734793187,12.066605839416058,334.0,45.0,71.0,0.27945966998873306,8.816282190971863e-07
14.0,13.5,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,7634,29.02220194647202,16.925182481751825,22.228558394160583,15.434914841849148,343.0,45.0,62.0,0.29037405075985934,1.1381935512707767e-06
14.0,13.75,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,7462,28.36830900243309,16.248479318734795,21.894008515815084,15.41970802919708,345.0,45.0,60.0,0.29094515942327787,1.151889248588718e-06
14.0,14.25,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,4552,17.305352798053526,11.138990267639903,14.028284671532846,10.751216545012165,96.0,45.0,51.0,0.2811326410656247,9.20317111410287e-07
14.0,14.5,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,4649,17.67411800486618,12.07801094890511,14.704987834549879,11.735857664233576,96.0,45.0,51.0,0.28191103084703756,9.383967578781703e-07
14.0,14.75,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,5073,19.286040145985403,13.515054744525548,16.282694647201946,13.279349148418492,91.0,45.0,46.0,0.284007852881583,9.873483119362004e-07
14.0,15.0,Chad,True,225.0,0.23817266717185476,5.484128329885451,26304,5260,19.996958637469586,13.754562043795621,16.76551094890511,13.534063260340632,88.0,45.0,43.0,0.2845105010259224,9.991368323459989e-07
14.0,15.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,5187,19.719434306569344,13.57588199513382,16.45757299270073,13.195711678832117,337.0,45.0,68.0,0.2834655224415875,9.746525082704285e-07
14.0,15.5,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,5034,19.13777372262774,13.321167883211679,15.932937956204379,12.728102189781023,336.0,45.0,69.0,0.28317257070969515,9.678046846859395e-07
14.0,15.75,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,4886,18.575121654501217,12.994221411192214,15.465328467153284,12.355535279805352,336.0,45.0,69.0,0.2831574156282659,9.674506233057795e-07
14.0,16.0,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,5360,20.37712895377129,14.286800486618004,17.069647201946474,13.762165450121655,337.0,45.0,68.0,0.2848710821082836,1.0076063188417e-06
14.0,16.25,Chad,False,225.0,0.23817266717185476,5.484128329885451,26304,6937,26.37241484184915,17.8794099756691,21.753345498783457,17.13427615571776,336.0,45.0,69.0,0.29002587514777417,1.1298571920145657e-06
